OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
95	47.56110533100008	-122.30508701899998	(47.56110533100008, -122.30508701899998)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3835	6085.10	1275029.18
96	47.56081720100008	-122.29337876899996	(47.56081720100008, -122.29337876899996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4826	5261.15	1326928.18
97	47.55932476300006	-122.38682976799998	(47.55932476300006, -122.38682976799998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1822	5152.79	1057312.78
98	47.56057152000005	-122.274470383	(47.56057152000005, -122.274470383)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4835	4993.40	1136177.37
99	47.56059431500006	-122.26944638999998	(47.56059431500006, -122.26944638999998)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4836	5021.82	1057775.98
100	47.55741571900006	-122.35378510099997	(47.55741571900006, -122.35378510099997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3821	8283.93	2061662.41
101	47.55378139600003	-122.30287059299997	(47.55378139600003, -122.30287059299997)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3836	5048.32	1134290.50
102	47.552110319000064	-122.387038384	(47.552110319000064, -122.387038384)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1821	8310.51	1190141.47
103	47.53800507400007	-122.31921728199995	(47.53800507400007, -122.31921728199995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3832	16999.05	9484847.01
104	47.555290580000076	-122.29004472499997	(47.555290580000076, -122.29004472499997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4827	6218.52	1588982.19
105	47.55512807100007	-122.36294548499995	(47.55512807100007, -122.36294548499995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2822	8492.50	1729483.86
106	47.55569696400005	-122.28325121099999	(47.55569696400005, -122.28325121099999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4828	3552.48	487020.55
107	47.55374724400008	-122.36821508099996	(47.55374724400008, -122.36821508099996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2824	7352.49	1570227.21
108	47.55373678800004	-122.36821527799998	(47.55373678800004, -122.36821527799998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2897	7188.62	1557389.63
109	47.553411691000065	-122.30852004299999	(47.553411691000065, -122.30852004299999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3837	3909.33	848226.43
110	47.55191786100005	-122.354810354	(47.55191786100005, -122.354810354)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3822	7895.88	1408201.34
111	47.55117601400008	-122.27766423599996	(47.55117601400008, -122.27766423599996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5823	5560.77	1487155.18
112	47.55116467600004	-122.27538215999999	(47.55116467600004, -122.27538215999999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5821	4480.09	1207641.08
113	47.55122050300008	-122.24302352799998	(47.55122050300008, -122.24302352799998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5820	9517.05	3625533.69
114	47.54668272500004	-122.38719545099997	(47.54668272500004, -122.38719545099997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1820	6384.37	1324424.70
115	47.54975610000008	-122.28733133599997	(47.54975610000008, -122.28733133599997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4828	3571.86	702871.29
116	47.546379278000074	-122.30060094999999	(47.546379278000074, -122.30060094999999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3837	4253.26	588516.91
117	47.54628099100006	-122.29688653799997	(47.54628099100006, -122.29688653799997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5824	7843.55	2741585.50
118	47.54487201900008	-122.38721484699994	(47.54487201900008, -122.38721484699994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2830	10931.05	4111003.11
119	47.54473087500003	-122.37913894099995	(47.54473087500003, -122.37913894099995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2825	4651.42	1164013.41
120	47.54467198400005	-122.37442428299994	(47.54467198400005, -122.37442428299994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2826	6472.60	1193567.56
121	47.54605522000003	-122.263726771	(47.54605522000003, -122.263726771)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5822	6070.79	1317325.62
122	47.54247599800004	-122.27280766599995	(47.54247599800004, -122.27280766599995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5825	5568.85	1363111.79
123	47.53915316800004	-122.33032661199996	(47.53915316800004, -122.33032661199996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3830	6810.12	1961614.44
124	47.53681807600003	-122.37837224199995	(47.53681807600003, -122.37837224199995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2827	4298.76	974720.41
125	47.53896392000007	-122.29647349499999	(47.53896392000007, -122.29647349499999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5826	6074.57	1456072.36
126	47.53795416400004	-122.36109192799995	(47.53795416400004, -122.36109192799995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3823	6939.16	1196017.29
127	47.53549934400007	-122.34712978399995	(47.53549934400007, -122.34712978399995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3825	7699.22	1346131.15
128	47.537047776000065	-122.28118857999999	(47.537047776000065, -122.28118857999999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5827	9506.87	2694087.20
129	47.535929837000026	-122.27003549099999	(47.535929837000026, -122.27003549099999)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5828	7498.85	1485123.67
130	47.535523470000044	-122.36475893699998	(47.535523470000044, -122.36475893699998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2828	5925.95	2144513.26
131	47.534077841000055	-122.34707026999996	(47.534077841000055, -122.34707026999996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3824	4282.53	1139264.05
132	47.531915371000025	-122.37663318999995	(47.531915371000025, -122.37663318999995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2829	4432.86	885048.57
133	47.53094624500005	-122.26998969899995	(47.53094624500005, -122.26998969899995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5829	4384.83	1123912.37
134	47.53130304600006	-122.25980564899999	(47.53130304600006, -122.25980564899999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5831	5491.09	1715275.69
135	47.52784124100003	-122.38740187699995	(47.52784124100003, -122.38740187699995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2831	6598.59	1752718.92
136	47.52828520700007	-122.37663651899999	(47.52828520700007, -122.37663651899999)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2832	5970.61	1333394.60
137	47.52828358200003	-122.36046026999998	(47.52828358200003, -122.36046026999998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3827	5810.98	1903000.54
138	47.52828654800004	-122.35506324799996	(47.52828654800004, -122.35506324799996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3826	4461.17	934698.42
