•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
128	"(47.537047776000065, -122.28118857999999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5827	"9,506.87"	"2,694,087.20"
129	"(47.535929837000026, -122.27003549099999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5828	"7,498.85"	"1,485,123.67"
130	"(47.535523470000044, -122.36475893699998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2828	"5,925.95"	"2,144,513.26"
131	"(47.534077841000055, -122.34707026999996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3824	"4,282.53"	"1,139,264.05"
132	"(47.531915371000025, -122.37663318999995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2829	"4,432.86"	"885,048.57"
133	"(47.53094624500005, -122.26998969899995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5829	"4,384.83"	"1,123,912.37"
134	"(47.53130304600006, -122.25980564899999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5831	"5,491.09"	"1,715,275.69"
135	"(47.52784124100003, -122.38740187699995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2831	"6,598.59"	"1,752,718.92"
136	"(47.52828520700007, -122.37663651899999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2832	"5,970.61"	"1,333,394.60"
137	"(47.52828358200003, -122.36046026999998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3827	"5,810.98"	"1,903,000.54"
138	"(47.52828654800004, -122.35506324799996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3826	"4,461.17"	"934,698.42"
139	"(47.52286063500003, -122.36049366299994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3828	"5,833.98"	"1,335,532.06"
140	"(47.52282779800004, -122.34927407199996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3829	"5,394.24"	"1,109,445.53"
141	"(47.52280049500007, -122.34545294799995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3830	"5,628.57"	"794,103.24"
142	"(47.52330724800004, -122.26998609299994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5830	"8,870.29"	"2,458,235.62"
143	"(47.523293283000044, -122.26455533399997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5834	"5,960.32"	"1,616,540.41"
144	"(47.52116251900003, -122.38747598499998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2833	"8,299.63"	"3,092,840.98"
145	"(47.51927895600005, -122.37682321599999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2835	"4,832.47"	"1,269,219.99"
146	"(47.51715138700007, -122.27002083599996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5831	"5,630.87"	"1,257,311.11"
147	"(47.517424205000054, -122.37127817699997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2834	"11,126.95"	"2,175,843.40"
148	"(47.51331847000006, -122.26424708499997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5833	"6,499.14"	"1,940,977.75"
149	"(47.511914671000056, -122.37612102699995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2836	"4,588.56"	"1,208,071.71"
150	"(47.508415107000076, -122.24922375099999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5836	"4,811.51"	"1,070,569.44"
151	"(47.51008456200003, -122.38816358599996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	TUE	2837	"7,837.92"	"2,516,588.21"
152	"(47.506374762000064, -122.24878289499998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5837	"6,382.46"	"1,217,906.63"
153	"(47.50248595200003, -122.25950640199994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5832	"5,540.33"	"1,600,753.69"
154	"(47.67598536300005, -122.36602316999995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1808	"3,954.95"	"941,854.88"
155	"(47.58638049900003, -122.37598476299996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3898	"37,713.92"	"15,652,852.22"
156	"(47.719571743000074, -122.34224785599997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4811	"10,517.97"	"3,973,858.48"
157	"(47.70867429000003, -122.33937338999999)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4812	"7,480.79"	"2,555,332.94"
158	"(47.590560165000056, -122.30746511799998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4820	"5,956.23"	"1,939,555.55"
159	"(47.67176707600004, -122.40782756699997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2345B	"23,604.93"	"11,108,434.05"
160	"(47.63151604600006, -122.39427533399999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	MON	1341A	"12,486.69"	"4,911,539.55"
161	"(47.653720908000025, -122.32237100299994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5814	"7,349.65"	"1,774,186.07"
162	"(47.67596225400007, -122.37638102299996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2801	"6,989.68"	"2,336,492.86"
163	"(47.676577344000066, -122.398370237)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2804	"6,176.26"	"1,926,050.62"
164	"(47.61726407200007, -122.30613516299996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4344B	"11,190.60"	"4,478,161.09"
165	"(47.64221209100003, -122.32250855299998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3345A	"9,746.00"	"3,069,730.22"
166	"(47.64727314100003, -122.29910605399999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3320A	"4,009.19"	"768,582.22"
167	"(47.66214266600008, -122.35543125699996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1802	"6,236.80"	"1,400,821.66"
168	"(47.65533799600007, -122.31208585599995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1325A	"11,140.43"	"3,185,733.01"
169	"(47.65774158800008, -122.34733142699997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1801	"5,991.44"	"1,665,520.31"
170	"(47.65038057900006, -122.35767960099997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2344B	"4,663.73"	"1,124,345.18"
171	"(47.66502102100003, -122.35443683099999)"	G1	WASTEMGT	WASTE MANAGEMENT	1	N	COM	COM	"11,391.78"	"4,955,207.43"
172	"(47.52447083900006, -122.29133895899997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	N	COM	COM	"59,630.76"	"28,982,792.67"
173	"(47.64768868500005, -122.31540809799998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3344A	"6,559.62"	"2,397,362.24"
174	"(47.59787522900007, -122.30222892199998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5343A	"8,624.38"	"2,931,581.21"
175	"(47.59805947600006, -122.29744918299997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5342A	"4,493.83"	"930,754.75"
176	"(47.62862006800003, -122.29665548899999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4342A	"8,395.02"	"1,627,824.26"
177	"(47.60025091500006, -122.29257237499996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	FRI	5343B	"8,563.41"	"1,883,354.27"
178	"(47.59051358200003, -122.30214949399999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4829	"8,293.18"	"2,100,217.22"
179	"(47.68850061300003, -122.31004089999999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	TUE	2325B	"5,433.92"	"883,450.03"
180	"(47.69092618900004, -122.29069483699999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	WED	3323A	"5,374.81"	"1,301,338.10"
